latitude,longitude,growth_stage,pH,N,P,K,NDVI,NDRE
11.2875,78.2142,Vegetative,7.5,64,48,76,0.39,0.36
11.3451,78.1584,Tuber Initiation,7.5,113,43,94,0.46,0.31
11.3232,78.1662,Vegetative,6.6,84,47,57,0.4,0.42
11.3099,78.2399,Vegetative,7.0,67,36,57,0.44,0.45
11.2656,78.2106,Tuber Initiation,7.4,113,58,98,0.45,0.39
11.2656,78.1509,Vegetative,7.2,97,30,72,0.56,0.39
11.2558,78.1601,Tuber Initiation,6.0,114,40,94,0.54,0.47
11.3366,78.2164,Vegetative,6.4,76,30,64,0.42,0.25
11.3101,78.1505,Bulking,5.8,194,51,103,0.8,0.55
11.3208,78.1661,Bulking,7.4,192,57,129,0.84,0.62
11.2521,78.2049,Vegetative,6.7,98,48,55,0.46,0.36
11.347,78.2192,Vegetative,6.0,65,32,56,0.43,0.42
11.3332,78.2152,Vegetative,6.8,67,39,69,0.41,0.37
11.2712,78.1724,Bulking,6.7,154,64,118,0.62,0.54
11.2682,78.2212,Vegetative,6.2,92,49,79,0.55,0.43
11.2683,78.1737,Bulking,5.7,178,76,125,0.79,0.6
11.2804,78.1825,Tuber Initiation,6.8,128,45,94,0.62,0.47
11.3025,78.2246,Bulking,6.5,172,78,126,0.79,0.73
11.2932,78.215,Bulking,7.0,166,72,122,0.77,0.52
11.2791,78.2349,Tuber Initiation,6.5,103,41,79,0.55,0.51
11.3112,78.2158,Bulking,7.2,144,76,99,0.7,0.58
11.2639,78.2068,Vegetative,6.6,92,35,62,0.52,0.4
11.2792,78.1594,Vegetative,6.6,90,44,53,0.51,0.45
11.2866,78.1868,Bulking,7.3,184,73,104,0.78,0.62
11.2956,78.1765,Vegetative,6.3,88,37,54,0.51,0.48
11.3285,78.1744,Bulking,5.8,168,64,93,0.64,0.59
11.27,78.2473,Vegetative,5.6,71,42,51,0.49,0.38
11.3014,78.1893,Vegetative,7.0,86,48,68,0.53,0.38
11.3092,78.2392,Bulking,6.7,175,53,115,0.63,0.52
11.2546,78.2131,Vegetative,6.9,86,34,69,0.52,0.5
11.3108,78.2295,Bulking,5.9,150,79,99,0.58,0.41
11.2671,78.2003,Vegetative,5.8,99,35,55,0.46,0.39
11.2565,78.2077,Vegetative,5.5,67,44,75,0.45,0.39
11.3449,78.1993,Tuber Initiation,6.2,111,52,77,0.47,0.42
11.3466,78.1695,Tuber Initiation,6.7,117,40,84,0.61,0.41
11.3308,78.2222,Bulking,6.3,179,77,132,0.8,0.68
11.2805,78.1781,Tuber Initiation,6.4,111,51,73,0.53,0.51
11.2598,78.1524,Bulking,7.3,187,53,94,0.66,0.46
11.3184,78.2145,Tuber Initiation,6.2,136,47,79,0.57,0.4
11.294,78.1677,Vegetative,6.5,87,38,71,0.48,0.48
11.2622,78.244,Bulking,7.1,190,78,103,0.87,0.63
11.2995,78.2454,Bulking,6.3,179,58,111,0.76,0.68
11.2534,78.2415,Vegetative,6.7,70,30,63,0.36,0.29
11.3409,78.187,Bulking,7.2,176,70,115,0.75,0.55
11.2759,78.1515,Bulking,7.4,185,53,112,0.76,0.68
11.3163,78.2428,Tuber Initiation,5.8,100,58,77,0.56,0.44
11.2812,78.1928,Bulking,7.4,154,70,136,0.58,0.47
11.302,78.2467,Vegetative,6.5,68,38,59,0.46,0.34
11.3047,78.2464,Tuber Initiation,6.0,125,48,72,0.58,0.48
11.2685,78.2353,Tuber Initiation,6.4,124,50,75,0.66,0.46
11.347,78.1794,Vegetative,7.5,61,36,67,0.35,0.26
11.3275,78.1885,Vegetative,6.5,86,31,76,0.48,0.48
11.3439,78.2351,Tuber Initiation,6.2,116,50,96,0.63,0.46
11.3395,78.1817,Bulking,6.8,183,76,113,0.67,0.57
11.3098,78.1669,Tuber Initiation,6.0,124,46,89,0.66,0.49
11.3422,78.2057,Vegetative,5.7,65,30,66,0.43,0.4
11.2588,78.2436,Tuber Initiation,5.8,128,50,91,0.5,0.33
11.2696,78.2196,Vegetative,5.8,85,47,70,0.42,0.43
11.2545,78.207,Tuber Initiation,5.8,106,56,89,0.56,0.44
11.2825,78.1597,Bulking,5.8,180,66,109,0.65,0.47
11.2889,78.2115,Tuber Initiation,6.8,121,47,86,0.58,0.38
11.2771,78.249,Tuber Initiation,5.9,106,40,82,0.49,0.33
11.3329,78.164,Vegetative,6.2,89,48,76,0.49,0.4
11.2857,78.2018,Vegetative,7.3,78,46,62,0.34,0.24
11.2781,78.2377,Vegetative,6.4,88,45,57,0.54,0.5
11.3043,78.2241,Tuber Initiation,6.8,118,57,70,0.65,0.51
